SKILL,icon,type,isCombatSkill,,,,,,,,,,,
42,Oak longbow,From scratch,Bows,50,25,https://oldschool.runescape.wiki/images/1/13/Oak_longbow.png?1f1d2,1 Oak logs;1 Bowstring,1 Oak longbow,All,,,,1,
43,Jade bolts ,,Bolts,2.4,26,https://oldschool.runescape.wiki/images/d/d9/Jade_bolts_5.png?3c375,1 Blurite bolts;1 Jade bolt tips,1 Jade bolts,All,,,,0.1,
44,Jade bolt tips,,Bolts,2.4,26,https://oldschool.runescape.wiki/images/f/fe/Jade_bolt_tips_5.png?bf58a,1 Jade,12 Jade bolt tips,All,,,,1,
45,Oak shield,,Shields,50,27,https://oldschool.runescape.wiki/images/e/e6/Oak_shield.png?efda1,2 Oak logs,1 Oak shield,All,,,,1,
46,Steel arrows ,,Arrows,5,30,https://oldschool.runescape.wiki/images/6/64/Steel_arrow_5.png?2c4a2,1 Headless arrow;1 Steel arrowtip,1 Steel arrow,All,,,,0.066666666666667,
47,Steel arrows ,From scratch,Arrows,6.33,30,https://oldschool.runescape.wiki/images/6/64/Steel_arrow_5.png?2c4a2,0.0666666666666667 Logs; 1 Feather;1 Steel arrowtip,1 Steel arrow,All,,,,0.2,
48,Arrow shafts,From willow logs,Arrows,0.33,30,https://oldschool.runescape.wiki/images/c/cb/Arrow_shaft_5.png?3ba7a,0.022222222222222 Willow logs,45 Arrow shafts,All,,,,0.022222222222222,
49,Comp ogre bow,Unstrung,Bows,45,30,https://oldschool.runescape.wiki/images/d/df/Unstrung_comp_bow.png?ba6db,1 Achey tree logs;1 Wolf bones,1 Comp ogre bow (u),Kandarin,,,,1,
50,Comp ogre bow,Stringing,Bows,45,30,https://oldschool.runescape.wiki/images/d/d6/Comp_ogre_bow.png?e8b8b,1 Comp ogre bow (u);1 Bowstring,1 Comp ogre bow,All,,,,1,
51,Comp ogre bow,From scratch,Bows,90,30,https://oldschool.runescape.wiki/images/d/d6/Comp_ogre_bow.png?e8b8b,1 Achey tree logs;1 Wolf bones;1 Bowstring,1 Comp ogre bow,Kandarin,,,,1,
52,Steel javelins ,,Javelins,5,32,https://oldschool.runescape.wiki/images/3/3f/Steel_javelin.png?9ecc2,1 Javelin shafts;1 Steel javelin heads,1 Steel javelins,All,,,,0.066666666666667,
53,Kebbit bolts,,Bolts,5.8,32,https://oldschool.runescape.wiki/images/0/08/Kebbit_bolts.png?57cb2,1 Kebbit spike,1 Kebbit bolts,All,,,,1,
54,Steel brutal ,,Arrows,5.1,33,https://oldschool.runescape.wiki/images/c/c8/Steel_brutal_5.png?bf55d,1 Flighted ogre arrow;1 Steel nails,1 Steel brutal,All,,,,0.166666666666667,
55,Willow shortbow,Unstrung,Bows,33.3,35,https://oldschool.runescape.wiki/images/8/8e/Willow_shortbow_%28u%29.png?1110b,1 Willow logs,1 Willow shortbow (u),All,,,,1,
56,Willow shortbow,Stringing,Bows,33.3,35,https://oldschool.runescape.wiki/images/d/d6/Willow_shortbow.png?c7ee0,1 Willow shortbow (u);1 Bowstring,1 Willow shortbow,All,,,,1,
57,Willow shortbow,From scratch,Bows,66.6,35,https://oldschool.runescape.wiki/images/d/d6/Willow_shortbow.png?c7ee0,1 Willow logs;1 Bowstring,1 Willow shortbow,All,,,,1,
58,Steel darts ,,Darts,7.5,37,https://oldschool.runescape.wiki/images/c/c8/Steel_dart.png?ebaf5,1 Feather;1 Steel dart tip,1 Steel darts,Desert,,,,0.1,
59,Black brutal ,,Arrows,6.5,38,https://oldschool.runescape.wiki/images/a/a5/Black_brutal_5.png?60886,1 Flighted ogre arrow;1 Black nails,1 Black brutal,All,,,,0.166666666666667,
60,Iron bolts ,,Bolts,1.5,39,https://oldschool.runescape.wiki/images/e/ea/Iron_bolts_5.png?f1c11,1 Iron bolts (unf);1 Feather,1 Iron bolts,All,,,,0.1,
61,Willow stock,,Crossbows,22,39,https://oldschool.runescape.wiki/images/8/89/Willow_stock.png?fd4ad,1 Willow logs,1 Willow stock,All,,,,1,
62,Iron crossbow,Stringing,Crossbows,22,39,https://oldschool.runescape.wiki/images/f/fc/Iron_crossbow.png?ac368,1 Iron crossbow (u);1 Crossbow string,1 Iron crossbow,All,,,,1,
63,Iron crossbow,Attach limbs,Crossbows,44,39,https://oldschool.runescape.wiki/images/8/8f/Iron_crossbow_%28u%29.png?324af,1 Willow stock;1 Iron limbs,1 Iron crossbow (u),All,,,,1,
64,Iron crossbow,From scratch,Crossbows,88,39,https://oldschool.runescape.wiki/images/f/fc/Iron_crossbow.png?ac368,1 Willow logs;1 Iron limbs;1 Crossbow string,1 Iron crossbow,All,,,,1,
65,Willow longbow,Unstrung,Bows,41.5,40,https://oldschool.runescape.wiki/images/d/db/Willow_longbow_%28u%29.png?1110b,1 Willow logs,1 Willow longbow (u),All,,,,1,
66,Willow longbow,Stringing,Bows,41.5,40,https://oldschool.runescape.wiki/images/f/f8/Willow_longbow.png?06dd9,1 Willow longbow (u);1 Bowstring,1 Willow longbow,All,,,,1,
67,Battlestaff,,Other,80,40,https://oldschool.runescape.wiki/images/c/ce/Battlestaff.png?c04bc,1 Celastrus bark,1 Battlestaff,All,,,,1,
68,Willow longbow,From scratch,Bows,83,40,https://oldschool.runescape.wiki/images/f/f8/Willow_longbow.png?06dd9,1 Willow logs;1 Bowstring,1 Willow longbow,All,,,,1,
69,Pearl bolts ,,Bolts,3.2,41,https://oldschool.runescape.wiki/images/4/4f/Pearl_bolts_5.png?d7406,1 Iron bolts;1 Pearl bolt tips,1 Pearl bolts,All,,,,0.1,
70,Pearl bolt tips ,,Bolts,0.53,41,https://oldschool.runescape.wiki/images/f/f6/Pearl_bolt_tips_5.png?a665c,1 Oyster pearl,1 Pearl bolt tips,All,,,,0.166666666666667,
71,Pearl bolt tips (x24),,Bolts,3.2,41,https://oldschool.runescape.wiki/images/f/f6/Pearl_bolt_tips_5.png?a665c,1 Oyster pearls,24 Pearl bolt tips,All,,,,1,
72,Long kebbit bolts,,Bolts,7.9,42,https://oldschool.runescape.wiki/images/4/4e/Long_kebbit_bolts.png?f1657,1 Long kebbit spike,1 Long kebbit bolts,All,,,,1,
73,Willow shield,,Shields,83,42,https://oldschool.runescape.wiki/images/f/f9/Willow_shield.png?409e1,2 Willow logs,1 Willow shield,All,,,,1,
74,Silver bolts ,,Bolts,2.5,43,https://oldschool.runescape.wiki/images/a/a6/Silver_bolts_5.png?f1c11,1 Silver bolts (unf);1 Feather,1 Silver bolts,All,,,,0.1,
75,Mithril arrows ,,Arrows,7.5,45,https://oldschool.runescape.wiki/images/0/09/Mithril_arrow_5.png?bb85d,1 Headless arrow;1 Mithril arrowtip,1 Mithril arrow,All,,,,0.066666666666667,
76,Mithril arrows ,From scratch,Arrows,8.83,45,https://oldschool.runescape.wiki/images/0/09/Mithril_arrow_5.png?bb85d,0.0666666666666667 Logs; 1 Feather;1 Mithril arrowtip,1 Mithril arrow,All,,,,0.2,
77,Arrow shafts,From maple logs,Arrows,3.33,45,https://oldschool.runescape.wiki/images/c/cb/Arrow_shaft_5.png?3ba7a,0.016666666666667 Maple logs,60 Arrow shafts,All,,,,0.016666666666667,
78,Steel bolts ,,Bolts,3.5,46,https://oldschool.runescape.wiki/images/9/99/Steel_bolts_5.png?f1c11,1 Steel bolts (unf);1 Feather,1 Steel bolts,All,,,,0.1,
79,Teak stock,,Crossbows,27,46,https://oldschool.runescape.wiki/images/a/af/Teak_stock.png?134b2,1 Teak logs,1 Teak stock,All,,,,1,
80,Steel crossbow,Stringing,Crossbows,27,46,https://oldschool.runescape.wiki/images/6/6b/Steel_crossbow.png?f35e3,1 Steel crossbow (u);1 Crossbow string,1 Steel crossbow,All,,,,1,
81,Steel crossbow,Attach limbs,Crossbows,54,46,https://oldschool.runescape.wiki/images/d/da/Steel_crossbow_%28u%29.png?8680b,1 Teak stock;1 Steel limbs,1 Steel crossbow (u),All,,,,1,
82,Steel crossbow,From scratch,Crossbows,108,46,https://oldschool.runescape.wiki/images/6/6b/Steel_crossbow.png?f35e3,1 Teak logs;1 Steel limbs;1 Crossbow string,1 Steel crossbow,All,,,,1,
83,Mithril javelins ,,Javelins,8,47,https://oldschool.runescape.wiki/images/2/2c/Mithril_javelin.png?9ecc2,1 Javelin shafts;1 Mithril javelin heads,1 Mithril javelins,All,,,,0.066666666666667,
84,Topaz bolt tips,,Bolts,3.9,48,https://oldschool.runescape.wiki/images/6/6d/Topaz_bolt_tips_5.png?f354f,1 Red topaz,12 Topaz bolt tips,All,,,,1,
85,Topaz bolts ,,Bolts,4,48,https://oldschool.runescape.wiki/images/4/48/Topaz_bolts_5.png?3ea59,1 Silver bolts;1 Topaz bolt tips,1 Topaz bolts,All,,,,0.1,
86,Mithril brutal ,,Arrows,7.5,49,https://oldschool.runescape.wiki/images/c/ce/Mithril_brutal_5.png?8f530,1 Flighted ogre arrow;1 Mithril nails,1 Mithril brutal,All,,,,0.166666666666667,
87,Maple shortbow,Unstrung,Bows,50,50,https://oldschool.runescape.wiki/images/4/41/Maple_shortbow_%28u%29.png?c2b3a,1 Maple logs,1 Maple shortbow (u),All,,,,1,
88,Maple shortbow,Stringing,Bows,50,50,https://oldschool.runescape.wiki/images/6/6a/Maple_shortbow.png?c5e59,1 Maple shortbow (u);1 Bowstring,1 Maple shortbow,All,,,,1,
89,Maple shortbow,From scratch,Bows,100,50,https://oldschool.runescape.wiki/images/6/6a/Maple_shortbow.png?c5e59,1 Maple logs;1 Bowstring,1 Maple shortbow,All,,,,1,
90,Barbed bolts ,,Bolts,9.5,51,https://oldschool.runescape.wiki/images/8/82/Barbed_bolts_5.png?5c039,1 Bronze bolts;1 Barb bolttips,1 Barbed bolts,All,,,,0.1,
91,Broad arrows ,,Arrows,10,52,https://oldschool.runescape.wiki/images/8/84/Broad_arrows_5.png?7488c,1 Headless arrow;1 Broad arrowtip,1 Broad arrow,All,,,,0.066666666666667,
92,Broad arrows ,From scratch,Arrows,12,52,https://oldschool.runescape.wiki/images/8/84/Broad_arrows_5.png?7488c,0.0666666666666667 Log;1 Feathers;1 Broad arrowtip,1 Broad arrow,All,,,,0.2,
93,Mithril darts ,,Darts,11.2,52,https://oldschool.runescape.wiki/images/a/aa/Mithril_dart.png?10522,1 Feather;1 Mithril dart tip,1 Mithril darts,Desert,,,,0.1,
94,Mithril bolts ,,Bolts,5,54,https://oldschool.runescape.wiki/images/e/ea/Mithril_bolts_5.png?34418,1 Mithril bolts (unf);1 Feather,1 Mithril bolts,All,,,,0.1,
95,Maple stock,,Crossbows,32,54,https://oldschool.runescape.wiki/images/8/8a/Maple_stock.png?d3956,1 Maple logs,1 Maple stock,All,,,,1,
96,Mithril crossbow,Stringing,Crossbows,32,54,https://oldschool.runescape.wiki/images/f/fc/Mith_crossbow.png?840f2,1 Mithril crossbow (u);1 Crossbow string,1 Mithril crossbow,All,,,,1,
97,Mithril crossbow,Attach limbs,Crossbows,64,54,https://oldschool.runescape.wiki/images/4/47/Mithril_crossbow_%28u%29.png?d3956,1 Maple stock;1 Mithril limbs,1 Mithril crossbow (u),All,,,,1,
98,Mithril crossbow,From scratch,Crossbows,128,54,https://oldschool.runescape.wiki/images/f/fc/Mith_crossbow.png?840f2,1 Maple logs;1 Mithril limbs;1 Crossbow string,1 Mithril crossbow,All,,,,1,
99,Broad bolts ,,Bolts,3,55,https://oldschool.runescape.wiki/images/0/05/Broad_bolts_5.png?e50a2,1 Broad bolts (unf);1 Feather,1 Broad bolts,All,,,,0.1,
100,Maple longbow,Unstrung,Bows,58.3,55,https://oldschool.runescape.wiki/images/a/a0/Maple_longbow_%28u%29.png?c2b3a,1 Maple logs,1 Maple longbow (u),All,,,,1,
101,Maple longbow,Stringing,Bows,58.3,55,https://oldschool.runescape.wiki/images/9/9f/Maple_longbow.png?be262,1 Maple longbow (u);1 Bowstring,1 Maple longbow,All,,,,1,
102,Maple longbow,From scratch,Bows,116.6,55,https://oldschool.runescape.wiki/images/9/9f/Maple_longbow.png?be262,1 Maple logs;1 Bowstring,1 Maple longbow,All,,,,1,
103,Sapphire bolts ,,Bolts,4.7,56,https://oldschool.runescape.wiki/images/b/b4/Sapphire_bolts_5.png?23bd2,1 Steel bolts;1 Sapphire bolt tips,1 Sapphire bolts,All,,,,0.1,
104,Sapphire bolt tips,,Bolts,4.7,56,https://oldschool.runescape.wiki/images/e/ea/Sapphire_bolt_tips_5.png?72478,1 Sapphire,12 Sapphire bolt tips,All,,,,1,
105,Maple shield,,Shields,116.5,57,https://oldschool.runescape.wiki/images/6/6b/Maple_shield.png?efda1,2 Maple logs,1 Maple shield,All,,,,1,
106,Emerald bolts ,,Bolts,5.5,58,https://oldschool.runescape.wiki/images/1/12/Emerald_bolts_5.png?3d4cc,1 Mithril bolts;1 Emerald bolt tips,1 Emerald bolts,All,,,,0.1,
107,Emerald bolt tips,,Bolts,5.5,58,https://oldschool.runescape.wiki/images/a/ad/Emerald_bolt_tips_5.png?6d7ba,1 Emerald,12 Emerald bolt tips,All,,,,1,
108,Adamant arrows ,,Arrows,10,60,https://oldschool.runescape.wiki/images/6/63/Adamant_arrow_5.png?d0b33,1 Headless arrow;1 Adamant arrowtip,1 Adamant arrow,All,,,,0.066666666666667,
109,Adamant arrows ,From scratch,Arrows,11.33,60,https://oldschool.runescape.wiki/images/6/63/Adamant_arrow_5.png?d0b33,0.0666666666666667 Logs; 1 Feather;1 Adamant arrowtip,1 Adamant arrow,All,,,,0.2,
110,Arrow shafts,From yew logs,Arrows,0.33,60,https://oldschool.runescape.wiki/images/c/cb/Arrow_shaft_5.png?3ba7a,0.013333333333333 Yew logs,75 Arrow shafts,All,,,,0.013333333333333,
111,Adamant bolts ,,Bolts,7,61,https://oldschool.runescape.wiki/images/4/4c/Adamant_bolts_5.png?9c874,1 Adamant bolts (unf);1 Feather,1 Adamant bolts,All,,,,0.1,
112,Mahogany stock,,Crossbows,41,61,https://oldschool.runescape.wiki/images/3/31/Mahogany_stock.png?1ee62,1 Mahogany logs,1 Mahogany stock,All,,,,1,
113,Adamant crossbow,Stringing,Crossbows,41,61,https://oldschool.runescape.wiki/images/3/35/Adamant_crossbow.png?57dea,1 Adamant crossbow (u);1 Crossbow string,1 Adamant crossbow,All,,,,1,
114,Adamant crossbow,Attach limbs,Crossbows,82,61,https://oldschool.runescape.wiki/images/6/66/Adamant_crossbow_%28u%29.png?4e90e,1 Mahogany stock;1 Adamant limbs,1 Adamant crossbow (u),All,,,,1,
115,Adamant crossbow,From scratch,Crossbows,164,61,https://oldschool.runescape.wiki/images/3/35/Adamant_crossbow.png?57dea,1 Mahogany logs;1 Adamant limbs;1 Crossbow string,1 Adamant crossbow,All,,,,1,
116,Adamant javelins ,,Javelins,10,62,https://oldschool.runescape.wiki/images/5/57/Adamant_javelin.png?bbb83,1 Javelin shafts;1 Adamant javelin heads,1 Adamant javelins,All,,,,0.066666666666667,
117,Adamant brutal ,,Arrows,10.2,62,https://oldschool.runescape.wiki/images/0/06/Adamant_brutal_5.png?72b68,1 Flighted ogre arrow;1 Adamant nails,1 Adamant brutal,All,,,,0.166666666666667,
118,Ruby bolts ,,Bolts,6.3,63,https://oldschool.runescape.wiki/images/f/fa/Ruby_bolts_5.png?c0357,1 Broad bolts;1 Ruby bolt tips,1 Ruby bolts,All,,,,0.1,
119,Ruby bolt tips,,Bolts,6.3,63,https://oldschool.runescape.wiki/images/2/29/Ruby_bolt_tips_5.png?d9fbe,1 Ruby,12 Ruby bolt tips,All,,,,1,
120,Diamond bolts ,,Bolts,7,65,https://oldschool.runescape.wiki/images/e/e1/Diamond_bolts_5.png?1d951,1 Adamant bolts;1 Diamond bolt tips,1 Diamond bolts,All,,,,0.1,
121,Diamond bolt tips,,Bolts,7,65,https://oldschool.runescape.wiki/images/7/77/Diamond_bolt_tips_5.png?d9fd0,1 Diamond,12 Diamond bolt tips,All,,,,1,
122,Yew shortbow,Unstrung,Bows,67.5,65,https://oldschool.runescape.wiki/images/d/dc/Yew_shortbow_%28u%29.png?024e2,1 Yew logs,1 Yew shortbow (u),All,,,,1,
123,Yew shortbow,Stringing,Bows,67.5,65,https://oldschool.runescape.wiki/images/6/63/Yew_shortbow.png?f0671,1 Yew shortbow (u);1 Bowstring,1 Yew shortbow,All,,,,1,
124,Yew shortbow,From scratch,Bows,135,65,https://oldschool.runescape.wiki/images/6/63/Yew_shortbow.png?f0671,1 Yew logs;1 Bowstring,1 Yew shortbow,All,,,,1,
125,Adamant darts ,,Darts,15,67,https://oldschool.runescape.wiki/images/8/82/Adamant_dart.png?111d6,1 Feather;1 Adamant dart tip,1 Adamant darts,Desert,,,,0.1,
126,Runite bolts ,,Bolts,10,69,https://oldschool.runescape.wiki/images/f/f3/Runite_bolts_5.png?09305,1 Runite bolts (unf);1 Feather,1 Runite bolts,All,,,,0.1,
127,Yew stock,,Crossbows,50,69,https://oldschool.runescape.wiki/images/1/1d/Yew_stock.png?9ed69,1 Yew logs,1 Yew stock,All,,,,1,
128,Rune crossbow,Stringing,Crossbows,50,69,https://oldschool.runescape.wiki/images/c/ce/Rune_crossbow.png?a74ee,1 Rune crossbow (u);1 Crossbow string,1 Rune crossbow,All,,,,1,
129,Rune crossbow,Attach limbs,Crossbows,100,69,https://oldschool.runescape.wiki/images/c/c8/Runite_crossbow_%28u%29.png?ae2a0,1 Yew stock;1 Rune limbs,1 Rune crossbow (u),All,,,,1,
130,Rune crossbow,From scratch,Crossbows,200,69,https://oldschool.runescape.wiki/images/c/ce/Rune_crossbow.png?a74ee,1 Yew logs;1 Rune limbs;1 Crossbow string,1 Rune crossbow,All,,,,1,
131,Yew longbow,Unstrung,Bows,75,70,https://oldschool.runescape.wiki/images/0/08/Yew_longbow_%28u%29.png?024e2,1 Yew logs,1 Yew longbow (u),All,,,,1,
132,Yew longbow,Stringing,Bows,75,70,https://oldschool.runescape.wiki/images/2/2d/Yew_longbow.png?5fc2b,1 Yew longbow (u);1 Bowstring,1 Yew longbow,All,,,,1,
133,Yew longbow,From scratch,Bows,150,70,https://oldschool.runescape.wiki/images/2/2d/Yew_longbow.png?5fc2b,1 Yew logs;1 Bowstring,1 Yew longbow,All,,,,1,
134,Dragonstone bolts ,,Bolts,8.2,71,https://oldschool.runescape.wiki/images/a/aa/Dragonstone_bolts_5.png?86e71,1 Runite bolts;1 Dragonstone bolt tips,1 Dragonstone bolts,All,,,,0.1,
135,Dragonstone bolt tips,,Bolts,8.2,71,https://oldschool.runescape.wiki/images/1/14/Dragonstone_bolt_tips_5.png?ddcaa,1 Dragonstone,12 Dragonstone bolt tips,All,,,,1,
