33,Falador rooftops,,Rooftop courses,440,50,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.21 Mark of grace,Asgarnia,,,,13,
34,Pipe squeeze ,Edgeville dungeon,Shortcuts,10,51,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Misthalin,,,,1,
35,Wilderness course,,Courses,571.4,52,https://oldschool.runescape.wiki/images/d/de/Skull_%28item%29.png?22c69,,,Wilderness,,,,5,
36,Monkey bars ,Yanille dungeon,Shortcuts,20,57,https://oldschool.runescape.wiki/images/9/90/Agility_area_jump.png?5eda0,,,Kandarin,,,,1,
38,Seers' Village rooftops,,Rooftop courses,570,60,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.2 Mark of grace,Kandarin,,,,6,
39,Werewolf course,,Courses,730,60,https://oldschool.runescape.wiki/images/8/84/Stick_%28item%29.png?ddce9,,,Morytania,,,,6,
40,Pillar jump ,Revenant caves,Shortcuts,6.5,65,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Wilderness,,,,1,
41,Narrow walkway ,Cosmic altar,Shortcuts,10,66,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Misthalin,,,,1,
42,Pile of rubble ,Yanille dungeon,Shortcuts,6,67,https://oldschool.runescape.wiki/images/1/19/Agility_area_climb.png?5eda0,,,Kandarin,,,,1,
43,Rock ,God wars dungeon,Shortcuts,6,70,https://oldschool.runescape.wiki/images/1/19/Agility_area_climb.png?5eda0,,,Asgarnia,,,,1,
44,Obstacle pipe ,Taverley dungeon,Shortcuts,10,70,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Asgarnia,,,,1,
45,Pollnivneach rooftops,,Rooftop courses,890,70,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.15 Mark of grace,Desert,,,,9,
46,Dorgesh-Kaan course,Dorgesh-Kaan course,Courses,2750,70,https://oldschool.runescape.wiki/images/0/09/Bullseye_lantern_%28lit%29.png?c1d8f,,,Misthalin,,,,9,
47,Pillar jump ,Revenant caves,Shortcuts,7.5,75,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Wilderness,,,,1,
49,Prifddinas course,,Courses,1285.2,75,https://oldschool.runescape.wiki/images/9/94/Crystal_shard_5.png?c3d15,,0.3 Crystal shard,Tirannwn,,,,12,
50,Stepping stone ,Shilo village,Shortcuts,1.25,77,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Karamja,,,,1,
51,Tight gap ,Iowerth dungeon,Shortcuts,1,78,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Tirannwn,,,,1,
52,Strange floor ,Taverley dungeon,Shortcuts,12.5,80,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Asgarnia,,,,1,
53,Rellekka rooftops,,Rooftop courses,780,80,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.2 Mark of grace,Fremennik,,,,7,
54,Spiked blades ,Fremennik slayer dungeon,Shortcuts,5,81,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Fremennik,,,,1,
55,Tight gap ,Iowerth dungeon,Shortcuts,1.5,84,https://oldschool.runescape.wiki/images/a/aa/Agility_shortcut_contortion.png?deb2b,,,Tirannwn,,,,1,
56,Pillar jump ,Revenant caves,Shortcuts,9,89,https://oldschool.runescape.wiki/images/7/70/Agility_shortcut_jump.png?deb2b,,,Wilderness,,,,1,
57,Ardougne rooftops,,Rooftop courses,793,90,https://oldschool.runescape.wiki/images/9/9b/Mark_of_grace.png?bfd42,,0.28 Mark of grace,Kandarin,,,,7,
