SKILL,,,,,,,,
name,icon,type,isCombatSkill,,,,,
55,Dashing kebbit,Falconry,156,69,https://oldschool.runescape.wiki/images/9/9b/Dashing_kebbit_icon.png?17990,,1 Dashing kebbit fur,Western Provinces
56,Imp,Trapping,450,71,https://oldschool.runescape.wiki/images/5/50/Imp_icon.png?e8c75,1 Magic box,1 Imp-in-a-box,
57,Black chinchompa,Trapping,315,73,https://oldschool.runescape.wiki/images/7/76/Black_chinchompa.png?4ad1d,,1 Black chinchompa,Wilderness
60,Ninja impling (puro puro),Implings,52,74,https://oldschool.runescape.wiki/images/8/88/Ninja_impling_jar.png?84152,1 Impling jar,1 Ninja impling,Misthalin
59,Ninja impling (overworld),Implings,240,74,https://oldschool.runescape.wiki/images/8/88/Ninja_impling_jar.png?84152,1 Impling jar,1 Ninja impling,All
58,Magic bird house,Bird houses,1140,74,https://oldschool.runescape.wiki/images/6/62/Magic_bird_house.png?a10e2,1 Magic logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 225,Misthalin
61,Crystal impling (overworld),Implings,280,80,https://oldschool.runescape.wiki/images/8/84/Crystal_impling_jar.png?c1199,1 Impling jar,1 Crystal impling,Tirannwn
63,Dragon impling (puro puro),Implings,65,83,https://oldschool.runescape.wiki/images/3/3b/Dragon_impling_jar.png?70983,1 Impling jar,1 Dragon impling,Misthalin
62,Dragon impling (overworld),Implings,300,83,https://oldschool.runescape.wiki/images/3/3b/Dragon_impling_jar.png?70983,1 Impling jar,1 Dragon impling,All
66,Lucky impling (puro puro),Implings,80,89,https://oldschool.runescape.wiki/images/a/ae/Lucky_impling_jar.png?2f08f,1 Impling jar,1 Lucky impling,Misthalin
65,Lucky impling (overworld),Implings,380,89,https://oldschool.runescape.wiki/images/a/ae/Lucky_impling_jar.png?2f08f,1 Impling jar,1 Lucky impling,All
64,Redwood bird house,Bird houses,1200,89,https://oldschool.runescape.wiki/images/c/c6/Redwood_bird_house.png?b3dff,1 Redwood logs;10 Hops/herb seeds,10 Feathers;1 Bird nest - 250,Misthalin
