SKILL,icon,type,isCombatSkill,,,,,,,,,,,
81,Moonlight mead,,Brewing,480,44,https://oldschool.runescape.wiki/images/8/8d/Moonlight_mead.png?d86d6,2 Bucket of water;2 Barley malt;4 Mushroom;1 Ale yeast;8 Beer glass,1 Moonlight mead,Fremennik; Morytania,,,,1,
82,Swordfish,,Meat/Fish,140,45,https://oldschool.runescape.wiki/images/f/f7/Swordfish.png?93249,1 Raw swordfish,1 Swordfish,All,,,,1,
83,Meat pizza,,Baking,169,45,https://oldschool.runescape.wiki/images/6/6f/Meat_pizza.png?4f95c,1 Plain pizza;1 Cooked meat,1 Meat pizza,All,,,,1,
84,Fried mushrooms,,Vegetables,60,46,https://oldschool.runescape.wiki/images/7/70/Fried_mushrooms.png?14fe6,1 Sliced mushrooms,1 Fried mushrooms,All,,,,1,
85,Potato with cheese,,Vegetables,40,47,https://oldschool.runescape.wiki/images/d/dd/Potato_with_cheese.png?07ed0,1 Potato with butter;1 Cheese,1 Potato with cheese,All,,,,1,
86,Fish pie,,Baking,164,47,https://oldschool.runescape.wiki/images/c/cc/Fish_pie.png?611f7,1 Raw fish pie,1 Fish pie,All,,,,1,
87,Cheese,,Other,64,48,https://oldschool.runescape.wiki/images/a/a5/Cheese.png?66fc6,1 Bucket of milk,1 Cheese,All,,,,1,
88,Axeman's folly,,Brewing,413,49,https://oldschool.runescape.wiki/images/9/90/Axeman%27s_folly.png?ea6ae,2 Bucket of water;2 Barley malt;1 Oak roots;1 Ale yeast;8 Beer glass,1 Axeman's folly,Fremennik; Morytania,,,,1,
89,Chocolate cake,,Baking,210,50,https://oldschool.runescape.wiki/images/7/74/Chocolate_cake.png?3a1ad,1 Cake;1 Chocolate bar,1 Chocolate cake,All,,,,1,
90,Egg potato,,Vegetables,45,51,https://oldschool.runescape.wiki/images/3/31/Egg_potato.png?23e5a,1 Egg and tomato;1 Potato with butter,1 Egg potato,All,,,,1,
92,Lava eel,,Meat/Fish,30,53,https://oldschool.runescape.wiki/images/0/00/Lava_eel.png?df9ba,1 Raw lava eel,1 Lava eel,Asgarnia; Wilderness,,,,1,
93,Chef's delight,,Brewing,446,54,https://oldschool.runescape.wiki/images/d/db/Chef%27s_delight.png?ecd37,2 Bucket of water;2 Barley malt;4 Chocolate dust;1 Ale yeast;8 Beer glass,1 Chef's delight,Fremennik; Morytania,,,,1,
94,Anchovy pizza,,Baking,182,55,https://oldschool.runescape.wiki/images/8/85/Anchovy_pizza.png?ad147,1 Plain pizza;1 Anchovies,1 Anchovy pizza,All,,,,1,
95,Mushroom & onion,,Vegetables,120,57,https://oldschool.runescape.wiki/images/8/81/Mushroom_%26_onion.png?23e5a,1 Fried mushrooms;1 Fried onions,1 Mushroom & onion,All,,,,1,
96,Pitta bread,,Baking,40,58,https://oldschool.runescape.wiki/images/9/96/Pitta_bread.png?1e725,1 Pitta dough,1 Pitta bread,All,,,,1,
97,Slayer's respite,,Brewing,479,59,https://oldschool.runescape.wiki/images/d/d3/Slayer%27s_respite.png?a25c9,2 Bucket of water;2 Barley malt;4 Wildblood hops;1 Ale yeast;8 Beer glass,1 Slayer's respite,Fremennik; Morytania,,,,1,
98,Mushroom pie,,Baking,200,60,https://oldschool.runescape.wiki/images/2/20/Mushroom_pie.png?7069d,1 Uncooked mushroom pie,1 Mushroom pie,Misthalin,,,,1,
99,Curry,,Other,280,60,https://oldschool.runescape.wiki/images/d/dd/Curry.png?fb2c3,1 Bowl of water;1 Potato;1 Cooked meat;1 Curry leaf,1 Curry,All,,,,1,
100,Monkfish,,Meat/Fish,150,62,https://oldschool.runescape.wiki/images/1/1b/Monkfish.png?f9c91,1 Raw monkfish,1 Monkfish,Kandarin; Wilderness,,,,1,
101,Mushroom potato,,Vegetables,55,64,https://oldschool.runescape.wiki/images/5/5a/Mushroom_potato.png?268b2,1 Mushroom & onion;1 Potato with butter,1 Mushroom potato,All,,,,1,
102,Pineapple pizza,,Baking,195,65,https://oldschool.runescape.wiki/images/8/85/Pineapple_pizza.png?4f95c,1 Plain pizza;1 Pineapple chunks,1 Pineapple pizza,All,,,,1,
103,Wine of zamorak,,Other,200,65,https://oldschool.runescape.wiki/images/c/ca/Wine_of_zamorak.png?4819a,1 Jug of water;1 Zamorak's grapes,1 Wine of zamorak,All,,,,1,
104,Tuna potato,,Vegetables,10,68,https://oldschool.runescape.wiki/images/7/7f/Tuna_potato.png?16593,1 Tuna and corn;1 Potato with butter,1 Tuna potato,All,,,,1,
105,Admiral pie,,Baking,210,70,https://oldschool.runescape.wiki/images/2/2d/Admiral_pie.png?d78d1,1 Raw admiral pie,1 Admiral pie,All,,,,1,
106,Sacred eel,,Meat/Fish,116.5,72,https://oldschool.runescape.wiki/images/0/02/Sacred_eel.png?91f26,1 Sacred eel,1 Sacred eel,Tirannwn,,,,1,
107,Dragonfruit pie,,Baking,220,73,https://oldschool.runescape.wiki/images/5/5d/Dragonfruit_pie.png?8e033,1 Uncooked dragonfruit pie,1 Dragonfruit pie,All,,,,1,
108,Shark,,Meat/Fish,210,80,https://oldschool.runescape.wiki/images/1/14/Shark.png?d26d2,1 Raw shark,1 Shark,Kandarin; Fremennik; Morytania; Tirannwn; Fremennik,,,,1,
109,Sea turtle,,Meat/Fish,211.3,82,https://oldschool.runescape.wiki/images/6/64/Anglerfish.png?2fc0e,1 Raw sea turtle,1 Sea turtle,All,,,,1,
111,Wild pie,,Baking,240,85,https://oldschool.runescape.wiki/images/1/16/Wild_pie.png?984a3,1 Raw wild pie,1 Wild pie,Kandarin,,,,1,
112,Dark crab,,Meat/Fish,215,90,https://oldschool.runescape.wiki/images/7/76/Dark_crab.png?3f3f9,1 Raw dark crab,1 Dark crab,Wilderness,,,,1,
113,Manta ray,,Meat/Fish,216.2,91,https://oldschool.runescape.wiki/images/5/55/Manta_ray.png?f8e98,1 Raw manta ray,1 Manta ray,All,,,,1,
114,Summer pie,,Baking,260,95,https://oldschool.runescape.wiki/images/f/fc/Summer_pie.png?59c24,1 Raw summer pie,1 Summer pie,All,,,,1,
