7,Tea stall,,Stalls,16,5,https://oldschool.runescape.wiki/images/1/1c/Cup_of_tea.png?389a5,,1 Cup of tea,Misthalin,,,,1,
8,Farmer,,Pickpocketing,14.5,10,https://oldschool.runescape.wiki/images/1/15/Thief_Farmer.png?42e52,,9 Coins - 99 ;1 Potato seed - 1 ,Misthalin; Kandarin,,,0,1,
9,10 coin chest,,Chests,7.8,13,https://oldschool.runescape.wiki/images/b/b6/Coins_100.png?511f4,,10 Coins,Kandarin; Wilderness; Fremennik,,,,1,
10,Dairy cows,,Other,16,15,https://oldschool.runescape.wiki/images/1/13/Cowbells.png?4fbf7,,1 Cowbells,Misthalin; Asgarnia; Kandarin; Kandarin; Fremennik,,,,1,
11,Female H.A.M. member,,Pickpocketing,18.5,15,https://oldschool.runescape.wiki/images/9/9c/Thief_Ham_%28Woman%29.png?d400c,,1 Easy clue scroll - 2 ;1 Uncut opal/jade - 4 ;1 Other - 94 ,Misthalin,,,0,1,
12,Entrana candle stand,,Stalls,20,20,https://oldschool.runescape.wiki/images/3/30/Candle.png?e87a3,,1 Candle,Misthalin,,,,1,
13,Male H.A.M. member,,Pickpocketing,22.5,20,https://oldschool.runescape.wiki/images/9/92/Thief_Ham_%28Man%29.png?6aae0,,1 Easy clue scroll - 2 ;1 Uncut opal/jade - 4 ;1 Other - 94 ,Misthalin,,,0,1,
14,Silk stall,,Stalls,24,20,https://oldschool.runescape.wiki/images/8/83/Silk.png?19840,,1 Silk,Tirannwn; Misthalin; Kandarin,,,,1,
15,Wine stall,,Stalls,27,22,https://oldschool.runescape.wiki/images/9/98/Jug_of_wine.png?a1091,,1 Wine or wine ingredients,Misthalin,,,,1,
16,Warrior woman,,Pickpocketing,26,25,https://oldschool.runescape.wiki/images/e/ed/Thief_Warrior.png?db130,,18 Coins,Misthalin; Kandarin,,,0,1,
17,Al-Kharid warrior,,Pickpocketing,26,25,https://oldschool.runescape.wiki/images/3/39/Thief_Desert_bandit.png?09a01,,18 Coins,Desert,,,0,1,
19,Sorceress's garden - Spring sq'irk,,Minigames,1350,25,https://oldschool.runescape.wiki/images/0/07/Spring_sq%27irk.png?614f6,4 Spring sq'irk,1 Spring sq'irkjuice,Desert,,,,1,
20,Seed stall,,Stalls,10,27,https://oldschool.runescape.wiki/images/7/72/Potato_seed_5.png?5b252,,1 Various seeds,Misthalin,,,,1,
21,Nature rune chest,,Chests,25,28,https://oldschool.runescape.wiki/images/8/88/Nature_rune.png?55b11,,1 Nature rune;3 Coins,Kandarin; Wilderness; Fremennik,,,,1,
22,Rogue,,Pickpocketing,35.5,32,https://oldschool.runescape.wiki/images/b/b4/Thief_Rogue.png?b959e,,33 Coins - 84.4 ;1 Other - 15.6 ,Wilderness,,,0,1,
23,Fur stall,,Stalls,36,35,https://oldschool.runescape.wiki/images/1/15/Grey_wolf_fur.png?71c6a,,1 Grey wolf fur,Fremennik; Kandarin,,,,1,
24,Cave goblin,,Pickpocketing,40,36,https://oldschool.runescape.wiki/images/6/65/Thief_Cave_goblin.png?4e47a,,30 Coins - 35 ;1 Other - 65 ,Misthalin,,,0,1,
25,Master Farmer,,Pickpocketing,43,38,https://oldschool.runescape.wiki/images/c/c1/Thief_Master_farmer.png?0979f,,1 Various seeds,Misthalin; Kandarin,,,0,1,
26,Guard,,Pickpocketing,46.8,40,https://oldschool.runescape.wiki/images/1/1b/Thief_Guard.png?26da6,,30 Coins,All,,,0,1,
27,Fish stall,,Stalls,42,42,https://oldschool.runescape.wiki/images/7/74/Raw_salmon.png?705ac,,1 Raw lobster/salmon/tuna,Fremennik,,,,1,
28,50 coin chest,,Chests,125,43,https://oldschool.runescape.wiki/images/b/b6/Coins_100.png?511f4,,50 Coins,Kandarin; Wilderness,,,,1,
29,Dorgeshuun wire machine,,Stalls,22,44,https://oldschool.runescape.wiki/images/c/c8/Cave_goblin_wire.png?a738f,,1 Cave goblin wire,Misthalin,,,,1,
30,Fremennik Citizen,,Pickpocketing,65,45,https://oldschool.runescape.wiki/images/2/2d/Thief_Fremennik.png?307f3,,40 Coins,Fremennik,,,0,1,
31,Bearded Pollnivnian Bandit,,Pickpocketing,65,45,https://oldschool.runescape.wiki/images/5/57/Thief_Pollnivnian_bandit.png?dd131,,40 Coins,Desert,,,0,1,
32,Sorceress's garden - Autumn sq'irk,,Minigames,2350,45,https://oldschool.runescape.wiki/images/c/c1/Autumn_sq%27irk.png?2c7a5,3 Autumn sq'irk,1 Autumn sq'irkjuice,Desert,,,,1,
33,Steel arrowtips chest,,Chests,150,47,https://oldschool.runescape.wiki/images/2/2f/Steel_arrowtips.png?1038e,,5 Steel arrowtips;20 Coins,Kandarin; Wilderness; Kandarin,,,,1,
34,Crossbow stall,,Stalls,52,49,https://oldschool.runescape.wiki/images/3/39/Bronze_bolts_5.png?171b1,,1 Crossbow ammo or materials,Fremennik,,,,1,
35,Silver stall,,Stalls,54,50,https://oldschool.runescape.wiki/images/3/34/Silver_ore.png?20dd9,,1 Silver ore,Tirannwn; Fremennik; Kandarin,,,,1,
36,Wall safes,,Chests,70,50,https://oldschool.runescape.wiki/images/7/77/Uncut_sapphire.png?c22e5,,20 Coins - 22 ;1 Uncut gem - 78 ,Asgarnia,,,,1,
37,Dorgesh-Kaan average chest,,Chests,200,52,https://oldschool.runescape.wiki/images/9/9f/Oil_lamp.png?b5eef,,1 Various goods,Misthalin,,,,1,
38,Desert Bandit,,Pickpocketing,79.5,53,https://oldschool.runescape.wiki/images/3/39/Thief_Desert_bandit.png?09a01,,30 Coins,Desert,,,0,1,
39,Knight of Ardougne,,Pickpocketing,84.3,55,https://oldschool.runescape.wiki/images/2/20/Thief_Knight.png?1405d,,50 Coins,Kandarin,,,0,1,
40,Pollnivian Bandit,,Pickpocketing,84.3,55,https://oldschool.runescape.wiki/images/5/57/Thief_Pollnivnian_bandit.png?dd131,,50 Coins,Desert,,,0,1,
41,Blood runes chest,,Chests,250,59,https://oldschool.runescape.wiki/images/2/2a/Blood_rune.png?9dc50,,2 Blood runes;500 Coins,Kandarin,,,,1,
43,Spice stall,,Stalls,81,65,https://oldschool.runescape.wiki/images/9/97/Spice.png?cbda9,,1 Spice,Tirannwn; Kandarin,,,,1,
44,Magic stall,,Stalls,100,65,https://oldschool.runescape.wiki/images/b/bf/Air_rune.png?b3a44,,1 Various runes,Kandarin,,,,1,
45,Yanille Watchman,,Pickpocketing,137.5,65,https://oldschool.runescape.wiki/images/e/eb/Thief_Watchman.png?2fcc0,,60 Coins;1 Bread,Kandarin,,,0,1,
46,Menaphite Thug,,Pickpocketing,137.5,65,https://oldschool.runescape.wiki/images/b/bd/Thief_Menaphite_thug.png?0e952,,60 Coins,Desert,,,0,1,
47,Scimitar stall,,Stalls,160,65,https://oldschool.runescape.wiki/images/b/b3/Iron_scimitar.png?e5c40,,1 Iron or steel scimitar,Kandarin,,,,1,
48,Sorceress's garden - Summer sq'irk,,Minigames,3000,65,https://oldschool.runescape.wiki/images/7/79/Summer_sq%27irk.png?7c5a9,2 Summer sq'irk,1 Summer sq'irkjuice,Desert,,,,1,
49,Paladin,,Pickpocketing,151.7,70,https://oldschool.runescape.wiki/images/5/5e/Thief_Paladin.png?0634d,,80 Coins;2 Chaos runes,Kandarin,,,0,1,
50,Ardougne Castle chest,,Chests,500,72,https://oldschool.runescape.wiki/images/1/1f/Raw_shark.png?cbed5,,1000 Coins;1 Raw shark;1 Adamantite ore;1 Uncut sapphire,Kandarin,,,,1,
51,Gem stall,,Stalls,160,75,https://oldschool.runescape.wiki/images/f/f7/Sapphire.png?0c4f5,,1 Uncut sapphire - 82 ;1 Uncut emerald - 13.3 ;1 Uncut ruby - 3.4 ;1 Uncut diamond - 0.78 ,Tirannwn; Misthalin; Kandarin,,,,1,
52,Gem stall (TzHaar),,Stalls,160,75,https://oldschool.runescape.wiki/images/f/f7/Sapphire.png?0c4f5,,1 Uncut sapphire - 50 ;1 Uncut emerald - 30 ;1 Uncut ruby - 15 ;1 Uncut diamond - 4.9 ;1 Uncut dragonstone - 0.1 ;1 Onyx - 0.002 ,Karamja,,,,1,
53,Gnome,,Pickpocketing,198.5,75,https://oldschool.runescape.wiki/images/0/07/Thief_Gnome.png?3f0e4,,300 Coins - 23.4 ;1 Gold ore - 6.3 ;1 Fire orb - 1.6 ;1 Other - 68.7 ,Kandarin,,,0,1,
54,Dorgesh-Kaan rich chest,,Chests,650,78,https://oldschool.runescape.wiki/images/7/77/Uncut_sapphire.png?c22e5,,1 Various gems - 47 ;1 Other - 53 ,Misthalin,,,,1,
55,Hero,,Pickpocketing,275,80,https://oldschool.runescape.wiki/images/a/aa/Thief_Hero.png?aebe6,,250 Coins - 82 ;2 Death rune - 6.3 ;2 Nature rune - 3.9 ;1 Other - 7.8 ,Kandarin,,,0,1,
56,Ore stall,,Stalls,180,82,https://oldschool.runescape.wiki/images/a/a0/Runite_ore.png?ae8da,,1 Various ores,Karamja,,,,1,
57,Vyre,,Pickpocketing,306.9,82,https://oldschool.runescape.wiki/images/d/d1/Vyre_icon.png?76f7f,,283 Coins - 82.6 ;2 Death rune - 6 ;4 Blood rune - 1.5 ;1 Blood shard - 0.016 ;1 Other - 9.884 ,Morytania,,,0,1,
58,Rogues' Castle chest,,Chests,100,84,https://oldschool.runescape.wiki/images/2/25/Dragonstone.png?fcd6f,,1 Hard clue scroll - 1 ;1 Various other items,Wilderness,,,,1,
59,Elf,,Pickpocketing,353,85,https://oldschool.runescape.wiki/images/6/62/Thief_Elf.png?587d0,,250 Coins - 82 ;2 Death rune - 6.3 ;2 Nature rune - 3.9 ;1 Crystal shard - 2.9 ;1 Enhanced crystal teleport seed - 0.097 ;1 Other - 4.803 ,Tirannwn,,,0,1,
60,TzHaar-Hur,,Pickpocketing,103.4,90,https://oldschool.runescape.wiki/images/b/b7/Thief_TzHaar-Hur.png?729aa,,5 Tokkul - 93.4 ;1 Uncut gem - 6.6 ,Karamja,,,0,1,
